,week,venue,attendance,referee,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards,,
0,259,Emirates Stadium (London),60095,MarrinerA.,5,0,True,False,False,1.28,6.4,9.6,8,1,0,,
1,259,Villa Park (Birmingham),25000,CooteD.,2,1,True,False,False,1.89,4.1,3.75,9,6,8,,
2,259,Brentford Community Stadium (London),17120,BrooksJ.,1,0,True,False,False,3.35,3.6,2.15,7,3,4,,
3,259,Stamford Bridge (London),40130,GillettJ.,1,1,False,True,False,2.8,3.85,2.38,9,3,0,,
4,258,Selhurst Park (London),25198,BramallT.,1,1,False,True,False,1.62,4.2,5.4,7,4,2,,
5,258,Goodison Park (Liverpool),39201,AttwellS.,1,0,True,False,False,1.63,4.2,5.2,8,1,4,,
6,258,Elland Road (Leeds),36871,TaylorA.,1,4,False,False,True,2.75,3.85,2.4,9,2,3,,
7,258,King Power Stadium (Leicester),32183,HooperS.,2,1,True,False,False,2.08,3.95,3.25,7,5,2,,
8,258,Old Trafford (Manchester),73465,JonesR.,2,1,True,False,False,1.48,5.2,6,11,2,3,,
9,258,Old Trafford (Manchester),73561,AttwellS.,4,1,True,False,False,1.55,4.7,5.8,14,0,2,,
10,258,St. James' Park (Newcastle),52152,MarrinerA.,0,0,False,True,False,1.31,6,9.2,5,1,2,,
11,258,Etihad Stadium (Manchester),53490,OliverM.,1,0,True,False,False,1.61,4.2,5.8,8,4,2,,
12,258,Amex Stadium (Brighton),31507,TierneyP.,3,1,True,False,False,1.2,7.8,13,9,2,7,,
13,258,London Stadium (London),62478,BankesP.,3,1,True,False,False,2.65,3.45,2.65,12,2,4,,
14,257,City Ground (Nottingham),29514,TaylorA.,1,0,True,False,False,5.2,4.2,1.64,5,2,5,,
15,257,Vitality Stadium (Bournemouth),10240,KavanaghC.,0,1,False,False,True,7,5.4,1.4,9,2,1,,
16,257,Craven Cottage (London),24356,SmithJ.,2,2,False,True,False,2.36,3.3,3.2,9,4,3,,
17,257,Anfield (Liverpool),53306,BrooksJ.,1,1,False,True,False,1.5,4.9,5.8,8,5,8,,
18,257,Molineux Stadium (Wolverhampton),31684,CooteD.,1,1,False,True,False,3.1,3.5,2.32,9,1,6,,
19,257,King Power Stadium (Leicester),32225,PawsonC.,0,3,False,False,True,4.6,4.3,1.7,9,7,3,,
20,257,Emirates Stadium (London),60139,MadleyA.,0,3,False,False,True,1.75,4.3,4.2,8,5,3,,
21,257,Brentford Community Stadium (London),17075,OliverM.,2,0,True,False,False,1.82,3.65,4.6,14,6,1,,
22,257,Goodison Park (Liverpool),39376,TaylorA.,0,3,False,False,True,7.8,5.2,1.4,7,1,1,,
23,257,Villa Park (Birmingham),42164,BankesP.,2,1,True,False,False,2.3,3.65,3.05,6,11,6,,
24,256,Stamford Bridge (London),40030,TierneyP.,2,2,False,True,False,1.57,4.3,5.8,8,3,4,,
25,256,Selhurst Park (London),25034,SalisburyM.,2,0,True,False,False,1.76,3.8,4.8,5,3,2,,
26,256,Old Trafford (Manchester),73570,BrooksJ.,2,0,True,False,False,1.38,5.4,8,9,1,5,,
27,256,St. Mary's Stadium (Southampton),28978,BramallT.,0,2,False,False,True,2.7,3.45,2.6,5,5,2,,
28,256,City Ground (Nottingham),29154,OliverM.,4,3,True,False,False,2.02,3.5,3.85,9,4,1,,
29,256,Amex Stadium (Brighton),31567,HooperS.,1,5,False,False,True,1.35,5.6,8.2,10,2,5,,
30,256,Craven Cottage (London),24442,JonesR.,5,3,True,False,False,2.7,3.35,2.7,16,5,3,,
31,256,London Stadium (London),62477,BankesP.,1,0,True,False,False,3.55,3.7,2.04,8,2,2,,
32,256,St. James' Park (Newcastle),50267,KavanaghC.,0,2,False,False,True,2.33,3.8,2.9,11,1,3,,
33,256,Anfield (Liverpool),52838,TaylorA.,1,0,True,False,False,1.43,5.2,6.6,6,3,6,,
34,255,Vitality Stadium (Bournemouth),10357,BrooksJ.,1,3,False,False,True,3.55,3.7,2.06,9,1,4,,
35,255,Etihad Stadium (Manchester),53406,MadleyA.,2,1,True,False,False,1.17,8.4,15,8,7,3,,
36,255,Tottenham Hotspur Stadium (London),61093,EnglandD.,1,0,True,False,False,1.83,3.85,4.2,5,1,8,,
37,255,Amex Stadium (Brighton),31577,MarrinerA.,1,0,True,False,False,2.17,3.85,3.1,11,2,8,,
38,255,Anfield (Liverpool),52602,AttwellS.,1,0,True,False,False,1.31,6,9,6,5,0,,
39,255,Emirates Stadium (London),60144,JonesR.,3,1,True,False,False,1.62,4.4,5.4,14,1,2,,
40,255,King Power Stadium (Leicester),32173,OliverM.,2,2,False,True,False,2.03,3.45,3.85,14,9,5,,
41,255,Anfield (Liverpool),53275,TierneyP.,4,3,True,False,False,1.57,4.9,5.2,11,5,5,,
42,255,Vitality Stadium (Bournemouth),10434,KavanaghC.,4,1,True,False,False,2.5,3.4,2.9,13,3,1,,
43,255,Craven Cottage (London),24498,HooperS.,1,2,False,False,True,10,6,1.3,10,4,4,,
44,254,Old Trafford (Manchester),73592,GillettJ.,1,0,True,False,False,1.75,4.2,4.4,7,10,2,,
45,254,St. James' Park (Newcastle),52234,TaylorA.,3,1,True,False,False,1.25,6.4,12,8,3,5,,
46,254,Brentford Community Stadium (London),17080,BankesP.,2,1,True,False,False,1.76,3.75,4.9,11,2,3,,
47,254,Amex Stadium (Brighton),31584,CooteD.,6,0,True,False,False,1.62,4.2,5.4,10,2,2,,
48,254,Tottenham Hotspur Stadium (London),61586,TaylorA.,2,2,False,True,False,2.85,3.75,2.41,15,5,3,,
49,254,Goodison Park (Liverpool),39248,MarrinerA.,1,4,False,False,True,4.4,3.7,1.85,13,4,3,,
50,254,St. Mary's Stadium (Southampton),30414,EnglandD.,0,1,False,False,True,2.6,3.3,2.85,4,6,3,,
51,254,Etihad Stadium (Manchester),53482,OliverM.,4,1,True,False,False,1.67,4.2,5,11,1,4,,
52,254,Stamford Bridge (London),39929,MadleyA.,0,2,False,False,True,1.79,3.65,4.8,5,2,3,,
