,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
0,Tsentralnyi Profsoyuz Stadion (Voronezh),31743.0,14999,IvanovS.(Rus),Fakel Voronezh,Yenisey,06,3,3,2,0,True,False,False,1.51,4.5,6.6,11,2,5
1,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,0,MeshkovV.(Rus),Pari NN,Rodina Moscow,06,3,3,0,2,False,False,True,1.5,4.2,7.4,5,3,4
2,Spartakovets imeni N.P. Starostina (Moscow),5100.0,0,LevnikovK.(Rus),Rodina Moscow,Pari NN,06,3,3,0,3,False,False,True,3.8,3.6,2.0,13,1,8
3,Akhmat-Arena (Groznyj),30597.0,5987,ShafeevR.(Rus),Akhmat Grozny,Krasnodar,06,3,3,2,2,False,True,False,2.6,3.55,2.7,6,3,8
4,VEB Arena (Moscow),30457.0,10604,KukuyanP.(Rus),CSKA Moscow,FK Rostov,06,3,3,4,1,True,False,False,1.45,4.8,7.0,12,3,2
5,Samara Arena (Samara),44918.0,18196,AmelinA.(Rus),Krylya Sovetov,Spartak Moscow,06,3,3,1,0,True,False,False,2.65,3.6,2.6,11,6,8
6,RZD Arena (Moscow),27084.0,5667,ChebanS.(Rus),Lokomotiv Moscow,Torpedo Moscow,06,3,3,3,1,True,False,False,1.2,7.8,12.0,10,4,5
7,Gazovik Stadium (Orenburg),4800.0,4717,IvanovS.(Rus),Orenburg,Dynamo Moscow,06,3,3,3,0,True,False,False,2.24,4.1,2.85,12,8,1
8,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,13159,KazartsevV.(Rus),Pari NN,Khimki,06,3,3,2,0,True,False,False,1.41,5.0,7.8,11,4,4
9,Yekaterinburg Arena (Yekaterinburg),25000.0,6810,MoskalevV.(Rus),Ural,Sochi,06,3,3,1,0,True,False,False,1.98,3.7,3.8,5,4,1
